,index,rounds,player1,player2
0,0,round_of_16_0,Vishy	Abhishek_I_sharks,qualifiers_1
1,1,round_of_16_1,Praveen_Kumar_G	Rahul_Gautam_hawks,qualifiers_3
2,2,round_of_16_2,Mohan	Daya_bulls,Jayraj	Apurv_Singhal_bulls 
3,3,round_of_16_3,qualifiers_0,Rachit_Tiwari	Aditya_Saxena_hawks
4,4,round_of_16_4,Venkat  KC_panthers,qualifiers_4
5,5,round_of_16_5,Anil	Spandan_sharks,Vilay  Vedant_panthers
6,6,round_of_16_6,Abhinay	Sughosh_hawks,Aatman_Mantri	Soham_Jain_bulls
7,7,round_of_16_7,qualifiers_2,Saurav	Abhishek_Garhia_sharks
