,index,rounds,player1,player2
0,0,round_of_8_0,Nivedita Jakki_red,qualifiers_3
1,1,round_of_8_1,qualifiers_1,Sistla Soumya_black
2,2,round_of_8_2,qualifiers_0,Riya Garg_black
3,3,round_of_8_3,qualifiers_4,qualifiers_2
